name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8
mol16,-7.294,-7.210,-6.942,-6.929,-6.910,-6.886,-6.813,-6.803
mol15,-7.196,-7.098,-6.983,-6.800,-6.770,-6.692,-6.655,-6.611
mol17,-7.179,-7.045,-6.931,-6.772,-6.753,-6.603,-6.539,-6.515
mol14,-7.152,-6.857,-6.670,-6.649,-6.628,-6.617,-6.600,-6.523
mol11,-7.044,-6.655,-6.645,-6.628,-6.586,-6.518,-6.495,
mol12,-6.954,-6.842,-6.709,-6.684,-6.592,-6.580,-6.511,-6.419
mol8,-6.926,-6.770,-6.723,-6.661,-6.617,-6.616,-6.583,-6.527
mol13,-6.905,-6.670,-6.661,-6.639,-6.540,-6.540,-6.504,
mol9,-6.838,-6.763,-6.596,-6.528,-6.511,-6.492,-6.480,-6.402
mol6,-6.767,-6.658,-6.447,-6.369,-6.353,-6.286,-6.205,-6.043
mol7,-6.755,-6.600,-6.585,-6.558,-6.495,-6.445,-6.438,-6.249
mol3,-6.716,-6.638,-6.432,-6.371,-6.358,-6.339,-6.284,-6.194
mol4,-6.668,-6.488,-6.426,-6.354,-6.316,-6.274,-6.259,-6.192
mol5,-6.509,-6.495,-6.401,-6.340,-6.315,-6.281,-6.273,-6.187
mol10,-6.290,-6.278,-6.157,-6.148,-6.047,-6.035,-5.968,-5.966
mol2,-4.994,-4.888,-4.825,-4.649,-4.647,-4.604,-4.581,-4.567
aspirin,-4.916,-4.752,-4.695,-4.586,-4.563,-4.500,-4.491,-4.431
mol1,-4.464,-4.457,-4.374,-4.372,-4.347,-4.275,-4.241,-4.204
